"ajal, heywan, candar", isim, hayvan,
"asîman, ezman", isim, gökyüzü,
"bîbî, met", isim, hala, "Meta min jiyana xwe ji dest da | Halam hayatını kaybetti. (Met)"
"dadger, dadwer", isim, hakim,
"darîkirn, mêrandin", fiil, göstermek,
"daşir, avdestxan",isim,tuvalet,
"gerînende, birêveber",isim,müdür,
"i bi xeter, bi talûke",söz öbeği,tehlikeli,
"ling, pê", isim, ayak,
"mam, ap", isim, amca, "Apê min çûye kar | Amcam işe gitmiş. (Ap)"
"mijûl, tijî",sıfat,"meşgul, dolu",
"pênivîs, pênûs", isim, kalem,
"qeresî, gêlaz", isim, kiraz,
"sef, sinif", isim, sınıf,
"toxim,tov", isim, tohum,
"xemrî, binefşî", isim, mor,
"yê firotinê, xwefiroş",isim,satılık,
"zend, dest", isim, kol,
"zêrfiroş, zêrkar", isim, kuyumcu,
"şerav, mey", isim, şarap,
"şolik, şoqil", isim, bezelye,
aborî, isim, ekonomi,
adar, isim, mart,
agir, isim, ateş,
agirbest,  isim, ateşkes,
agirkuj, isim, itfaiyeci,
ajovan, isim, şoför,
alozî, isim, karışıklık,
amûr, isim, araç,
amûrsazê avê, isim, su tesisatçısı,
anîn, fiil, getirmek,
araq, isim, rakı,
av, isim, su,
ava mêyweyê, isim, meyve suyu,
avahîsaz, isim, mimar,
avis, isim, hamile,
avêtin, fiil, atmak,
awarte, isim, kuraldışı,
ax, isim, toprak,
axaftin, fiil, konuşmak,
azad, isim, özgür,
açer, isim, anahtar (somun),
aştiyar, sıfat, barışçıl,
bacan, isim, patlıcan,
bahoz, isim, fırtına,
baldar, isim, dikkatli,
bandor, isim, etki,
bang, isim, ezan,
baran, isim, yağmur,
bav, isim, baba, "Bavê min ne li malê ye | Babam evde değil. (Bav)"
bazdan, fiil, koşmak,
bazin, isim, bilezik,
bedew, sıfat,"alımlı, hoş",
beher, isim, deniz, eş anlam
bejik, isim, acur,
beq, isim, kurbağa,
ber, edat, ön,
ber, isim, yakın,
beran, isim, koyun,
beraz, isim, domuz,
berbang, isim, (sabah) ezana yakın olan vakit,
berbisk, isim, saç tokası,
berdan, fiil, bırakmak,
bergeş, isim, tepsi,
bermalî, isim, ev hanımı,
bermayî, isim, artık,
bersiv dan, fiil, cevap vermek,
berx, isim, kuzu,
berxwedan, isim, direniş,
berçavk, isim, gözlük,
berçavka roje, isim, güneş gözlüğü,
berêvar, isim, ikindi vakti,
berîk, isim, cep,
beyanî, isim, sabahın ilk saatleri,
beybûn, isim, papatya,
beytar, isim, veteriner,
bi, edat, ile,
biborîn, fiil, affetmek,
bihar, isim,"bahar, ilkbahar",
bihîstin, fiil, duymak,
bijîşk, isim, doktor,
bilind, sıfat, yüksek,
bin, edat, altında,
bingeh, isim, temel,
bira, isim, abi,
birinc, isim, pirinç pilavı,
biryar dan, fiil, karar vermek,
birçîbûn, fiil, acıkmak,
birîn, isim, yara,
birîndar, sıfat, yaralı,
birû, isim, kaş,
birûsk, isim, yıldırım,
bistîn, fiil, almak,
biyan, isim, yabancı,
bizin, isim, keçi,
bişavtin,"isim, fiil","asimilasyon, eritmek",
boyaxvan, isim, boyacı,
bêhempa, sıfat, benzersiz,
bêrezî, sıfat, saygısız,
bêzar, isim,"bitkin, dilsiz",
bîra, isim, bira,
bîranîn, isim, anma,
bîrdozî, isim, i̇deoloji,
bûk, isim, gelin,
bûn, fiil, olmak,
canberî, isim, karides,
catir, isim, kekik,
cejn, isim, bayram,
cerbader, isim, tornavida,
cerr, isim, vidalar,
ciwan, sıfat, genç,
cixare nayê kişandin,söz öbeği,sigara içilmez,
cixare, isim, sigara,
cotkar, isim, çiftçi,
cotmeh, isim, ekim,
cûr, isim,"tür, çeşit",
dad, isim, adalet,
dadgeh, isim, mahkeme,
dadok, isim, dadı,
dan, fiil, vermek,
danîn, fiil, koymak,
dar, isim, ağaç,
dara çira, isim, fener,
daristan, isim, orman,
dartiraş, isim, marangoz,
das, isim, orak,
daxistin, fiil, kapatmak,
daxistin, isim, indirim,
daxwaz kirin, fiil, talep etmek,
dayik, isim, anne, "Dayika min îro nexweş e | Annem bugün hastadır. (Dayik)"
defter, isim, defter,
deh, isim, dokuz,
demanî, sıfat, kiralık,
dendik, isim, çekirdek,
deng, isim, ses,
